country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,97,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,98,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,96,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,99,Total,Units,%,Estimated value,Free,,Total
Bahrain,BH,BHR,48,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,99,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,41,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,82,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,89,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,90,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,92,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,93,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,93,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,93,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,93,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,93,Total,Units,%,Estimated value,Free,,Total
Bangladesh,BD,BGD,50,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,93,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,12,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,41,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,71,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,99,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,98,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,94,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,96,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,97,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,97,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,96,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,94,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,90,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,89,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,91,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,89,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,87,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,77,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,74,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,77,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,78,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,70,Total,Units,%,Estimated value,Free,,Total
Barbados,BB,BRB,52,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,73,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,92,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,97,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,95,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,97,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,99,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,98,Total,Units,%,Estimated value,Free,,Total
Belarus,BY,BLR,112,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,98,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,78,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,78,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,81,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,83,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,83,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,83,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,80,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,80,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,80,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,80,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,82,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,82,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,82,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,82,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,83,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,83,Total,Units,%,Estimated value,Free,,Total
Belgium,BE,BEL,56,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,83,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,87,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,92,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,89,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,90,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,92,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,91,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,98,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,93,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,92,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,92,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,95,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,96,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,88,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,91,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,95,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,87,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,77,Total,Units,%,Estimated value,Free,,Total
Belize,BZ,BLZ,84,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,76,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,72,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,79,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,85,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,95,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,90,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,89,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,92,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,94,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,90,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,99,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,91,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,92,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,92,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,91,Total,Units,%,Estimated value,Free,,Total
Bhutan,BT,BTN,64,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,97,Total,Units,%,Estimated value,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,38,Total,Units,%,Estimated value,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,44,Total,Units,%,Estimated value,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,46,Total,Units,%,Estimated value,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,56,Total,Units,%,Estimated value,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,49,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,74,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,86,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,90,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,85,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,88,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,90,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,93,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,95,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,92,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,88,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,91,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,88,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,94,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,93,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,92,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,88,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,78,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,80,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,76,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,68,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,60,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,63,Total,Units,%,Estimated value,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,60,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,83,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,85,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,80,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,74,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,74,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,74,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,76,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,66,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,70,Total,Units,%,Estimated value,Free,,Total
Botswana,BW,BWA,72,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,77,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2000,95,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,95,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,80,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,74,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,68,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,61,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,55,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,49,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,56,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,55,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,53,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,71,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,70,Total,Units,%,Estimated value,Free,,Total
Brazil,BR,BRA,76,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,69,Total,Units,%,Estimated value,Free,,Total
